Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
3072138967,"Feb 4, 2020, 7:06:50 PM",Evening Run,Run,,2784,7.83,,,false,,,activities/3279193951.tcx.gz,,,2784.0,2236.0,7835.0,6.1,3.504,26.9,,12.5,18.1,15.7,0.0,,,95.0,80.0,,,,,676.0,,,,,,,,,,,,,,,,0.0,,1.0,7871.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3091650151,"Feb 11, 2020, 6:58:01 PM",Evening Run,Run,,3396,9.44,,,false,,,activities/3300933120.gpx.gz,,,3396.0,2592.0,9439.3,7.5,3.642,7.0,7.2,12.0,15.2,4.1,0.0,,,100.0,78.0,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,9455.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3111748506,"Feb 18, 2020, 7:05:14 PM",Evening Run,Run,,2531,7.92,184.0,95,false,,,activities/3323433788.tcx.gz,,,2531.0,2209.0,7921.4,7.0,3.586,4.7,4.3,11.8,14.4,18.2,0.0,,,98.0,81.0,184.0,,,,540.0,,,95.0,,,,,,,,,,,,,0.0,,1.0,7945.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3137405227,"Feb 27, 2020, 7:16:17 PM",Evening Run,Run,,2998,8.05,185.0,109,false,,,activities/3351958265.tcx.gz,,,2998.0,2095.0,8057.1,6.4,3.846,5.8,6.0,10.3,13.4,50.0,0.0,,,89.0,83.0,185.0,,,,575.0,,,109.0,,,,,,,,,,,,,0.0,,1.0,8066.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3151633969,"Mar 3, 2020, 7:16:03 PM",Evening Run,Run,,2355,7.24,186.0,106,false,,,activities/3367814283.tcx.gz,,,2355.0,1806.0,7239.4,6.7,4.009,33.2,32.8,13.2,17.6,3.8,0.0,,,90.0,81.0,186.0,,,,543.0,,,106.0,,,,,,,,,,,,,0.0,,1.0,7260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3164406949,"Mar 8, 2020, 8:58:32 AM",Morning Run,Run,,2097,7.14,223.0,123,false,,,activities/3382013199.tcx.gz,,,2097.0,2094.0,7145.1,4.9,3.412,10.4,10.1,10.0,18.1,7.1,0.0,,,87.0,82.0,223.0,,,,499.0,,,123.0,,,,,,,,,,,,,0.0,,1.0,7174.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3172416861,"Mar 10, 2020, 6:54:35 PM",Evening Run,Run,,2984,8.32,182.0,106,false,,,activities/3390849783.tcx.gz,,,2984.0,2064.0,8327.6,6.5,4.035,,0.0,12.6,13.3,5.6,0.0,,,92.0,81.0,182.0,,,,675.0,,,106.0,,,,,,,,,,,,,0.0,,1.0,8338.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3184732844,"Mar 15, 2020, 9:08:23 AM",Morning Run,Run,,2113,7.26,223.0,106,false,,,activities/3404567209.tcx.gz,,,2113.0,2110.0,7268.9,5.1,3.445,12.5,12.4,10.0,17.1,10.6,0.0,,,88.0,84.0,223.0,,,,482.0,,,106.0,,,,,,,,,,,,,0.0,,1.0,7292.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3195299517,"Mar 18, 2020, 6:41:29 PM",Evening Run,Run,,1924,5.21,179.0,53,false,,,activities/3416021670.tcx.gz,,,1924.0,1404.0,5212.8,5.8,3.713,8.2,8.4,12.1,14.5,50.0,0.0,,,84.0,79.0,179.0,163.0,,,399.0,,,53.0,,,,,,,,,,,,,0.0,,1.0,5234.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3200177485,"Mar 20, 2020, 12:43:53 PM",Afternoon Run,Run,,2178,4.99,183.0,42,false,,,activities/3421273078.tcx.gz,,,2178.0,1416.0,4992.9,6.0,3.526,13.3,12.4,9.4,13.8,6.9,0.0,,,95.0,82.0,183.0,,,,392.0,,,42.0,,,,,,,,,,,,,0.0,,1.0,5009.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
